"PPN","batch","pollingplace"
7,1007014,"Gilmore"
7,1007015,"Gilmore"
7,1007016,"Gilmore"
7,1007017,"Gilmore"
7,1007998,"Gilmore"
7,1007999,"Gilmore"
7,4007001,"Gilmore"
7,4007998,"Gilmore"
8,1008001,"Gordon"
8,1008002,"Gordon"
8,1008003,"Gordon"
8,1008004,"Gordon"
8,1008005,"Gordon"
8,1008006,"Gordon"
8,1008007,"Gordon"
8,1008008,"Gordon"
8,1008009,"Gordon"
8,1008010,"Gordon"
8,1008011,"Gordon"
8,1008012,"Gordon"
8,1008013,"Gordon"
8,1008014,"Gordon"
8,1008015,"Gordon"
8,1008016,"Gordon"
8,1008017,"Gordon"
8,1008018,"Gordon"
8,1008019,"Gordon"
8,1008020,"Gordon"
8,1008021,"Gordon"
8,1008022,"Gordon"
8,1008023,"Gordon"
8,1008024,"Gordon"
8,1008025,"Gordon"
8,1008026,"Gordon"
8,1008027,"Gordon"
8,1008028,"Gordon"
8,1008029,"Gordon"
8,1008030,"Gordon"
8,1008031,"Gordon"
8,1008032,"Gordon"
8,1008998,"Gordon"
8,1008999,"Gordon"
8,3008001,"Gordon"
8,4008001,"Gordon"
8,4008998,"Gordon"
9,1009001,"Gowrie"
9,1009002,"Gowrie"
9,1009003,"Gowrie"
9,1009004,"Gowrie"
9,1009005,"Gowrie"
9,1009006,"Gowrie"
9,1009007,"Gowrie"
9,1009008,"Gowrie"
9,1009009,"Gowrie"
9,1009010,"Gowrie"
9,1009011,"Gowrie"
9,1009012,"Gowrie"
9,1009013,"Gowrie"
9,1009014,"Gowrie"
9,1009015,"Gowrie"
9,1009016,"Gowrie"
9,1009998,"Gowrie"
9,1009999,"Gowrie"
9,4009001,"Gowrie"
9,4009998,"Gowrie"
10,1010001,"Isabella Plains"
10,1010002,"Isabella Plains"
10,1010003,"Isabella Plains"
10,1010004,"Isabella Plains"
10,1010005,"Isabella Plains"
10,1010006,"Isabella Plains"
10,1010007,"Isabella Plains"
10,1010008,"Isabella Plains"
10,1010009,"Isabella Plains"
10,1010010,"Isabella Plains"
10,1010011,"Isabella Plains"
10,1010012,"Isabella Plains"
10,1010013,"Isabella Plains"
10,1010014,"Isabella Plains"
10,1010015,"Isabella Plains"
10,1010016,"Isabella Plains"
10,1010017,"Isabella Plains"
10,1010018,"Isabella Plains"
10,1010998,"Isabella Plains"
10,4010001,"Isabella Plains"
10,4010998,"Isabella Plains"
10,4010999,"Isabella Plains"
12,1012001,"Kambah North"
12,1012998,"Kambah North"
12,4012001,"Kambah North"
12,4012002,"Kambah North"
12,4012003,"Kambah North"
12,4012004,"Kambah North"
12,4012005,"Kambah North"
12,4012006,"Kambah North"
12,4012007,"Kambah North"
12,4012008,"Kambah North"
12,4012009,"Kambah North"
12,4012010,"Kambah North"
12,4012998,"Kambah North"
12,4012999,"Kambah North"
13,1013001,"Kambah South"
13,1013002,"Kambah South"
13,1013998,"Kambah South"
13,2013001,"Kambah South"
13,4013001,"Kambah South"
13,4013002,"Kambah South"
13,4013003,"Kambah South"
13,4013004,"Kambah South"
13,4013005,"Kambah South"
13,4013006,"Kambah South"
13,4013007,"Kambah South"
13,4013008,"Kambah South"
13,4013009,"Kambah South"
13,4013010,"Kambah South"
13,4013011,"Kambah South"
13,4013012,"Kambah South"
13,4013013,"Kambah South"
13,4013014,"Kambah South"
13,4013015,"Kambah South"
13,4013016,"Kambah South"
13,4013998,"Kambah South"
13,4013999,"Kambah South"
14,1014001,"Kambah West"
14,1014002,"Kambah West"
14,1014998,"Kambah West"
14,3014001,"Kambah West"
14,3014998,"Kambah West"
14,4014001,"Kambah West"
14,4014002,"Kambah West"
14,4014003,"Kambah West"
14,4014004,"Kambah West"
14,4014005,"Kambah West"
14,4014006,"Kambah West"
14,4014007,"Kambah West"
14,4014008,"Kambah West"
14,4014009,"Kambah West"
14,4014010,"Kambah West"
14,4014011,"Kambah West"
14,4014012,"Kambah West"
14,4014013,"Kambah West"
14,4014014,"Kambah West"
14,4014015,"Kambah West"
14,4014016,"Kambah West"
14,4014017,"Kambah West"
14,4014018,"Kambah West"
14,4014019,"Kambah West"
14,4014020,"Kambah West"
14,4014021,"Kambah West"
14,4014022,"Kambah West"
14,4014023,"Kambah West"
14,4014024,"Kambah West"
14,4014025,"Kambah West"
14,4014998,"Kambah West"
14,4014999,"Kambah West"
15,1015001,"Monash"
15,1015002,"Monash"
15,1015003,"Monash"
15,1015004,"Monash"
15,1015005,"Monash"
15,1015006,"Monash"
15,1015007,"Monash"
15,1015008,"Monash"
15,1015009,"Monash"
15,1015010,"Monash"
15,1015011,"Monash"
15,1015012,"Monash"
15,1015013,"Monash"
15,1015014,"Monash"
15,1015015,"Monash"
15,1015016,"Monash"
15,1015017,"Monash"
15,1015018,"Monash"
15,1015019,"Monash"
15,1015020,"Monash"
15,1015998,"Monash"
15,4015001,"Monash"
15,4015998,"Monash"
16,1016001,"Pearce"
16,1016998,"Pearce"
16,3016001,"Pearce"
16,3016998,"Pearce"
16,4016001,"Pearce"
16,4016002,"Pearce"
16,4016003,"Pearce"
16,4016004,"Pearce"
16,4016005,"Pearce"
16,4016006,"Pearce"
16,4016007,"Pearce"
16,4016008,"Pearce"
16,4016009,"Pearce"
16,4016010,"Pearce"
16,4016011,"Pearce"
16,4016012,"Pearce"
16,4016013,"Pearce"
16,4016014,"Pearce"
16,4016015,"Pearce"
16,4016016,"Pearce"
16,4016017,"Pearce"
16,4016018,"Pearce"
16,4016019,"Pearce"
16,4016020,"Pearce"
16,4016021,"Pearce"
16,4016022,"Pearce"
16,4016998,"Pearce"
16,4016999,"Pearce"
16,5016001,"Pearce"
16,5016998,"Pearce"
17,1017001,"Richardson"
17,1017002,"Richardson"
17,1017003,"Richardson"
17,1017004,"Richardson"
17,1017005,"Richardson"
17,1017006,"Richardson"
17,1017007,"Richardson"
17,1017008,"Richardson"
17,1017009,"Richardson"
17,1017010,"Richardson"
17,1017011,"Richardson"
17,1017012,"Richardson"
17,1017013,"Richardson"
17,1017014,"Richardson"
17,1017998,"Richardson"
17,4017001,"Richardson"
18,1018001,"Tharwa"
18,1018002,"Tharwa"
18,1018998,"Tharwa"
19,1019001,"Theodore"
19,1019002,"Theodore"
19,1019003,"Theodore"
19,1019004,"Theodore"
19,1019005,"Theodore"
19,1019006,"Theodore"
19,1019007,"Theodore"
19,1019008,"Theodore"
19,1019009,"Theodore"
19,1019010,"Theodore"
19,1019011,"Theodore"
19,1019012,"Theodore"
19,1019013,"Theodore"
19,1019014,"Theodore"
19,1019015,"Theodore"
19,1019998,"Theodore"
19,1019999,"Theodore"
19,4019001,"Theodore"
19,4019998,"Theodore"
20,1020001,"Wanniassa"
20,1020002,"Wanniassa"
20,1020003,"Wanniassa"
20,1020004,"Wanniassa"
20,1020005,"Wanniassa"
20,1020006,"Wanniassa"
20,1020007,"Wanniassa"
20,1020008,"Wanniassa"
20,1020009,"Wanniassa"
20,1020010,"Wanniassa"
20,1020011,"Wanniassa"
20,1020012,"Wanniassa"
20,1020013,"Wanniassa"
20,1020014,"Wanniassa"
20,1020015,"Wanniassa"
20,1020016,"Wanniassa"
20,1020998,"Wanniassa"
20,1020999,"Wanniassa"
20,3020001,"Wanniassa"
20,3020998,"Wanniassa"
20,4020001,"Wanniassa"
20,4020002,"Wanniassa"
20,4020998,"Wanniassa"
21,1021001,"Wanniassa Hills"
21,1021002,"Wanniassa Hills"
21,1021003,"Wanniassa Hills"
21,1021004,"Wanniassa Hills"
21,1021005,"Wanniassa Hills"
21,1021006,"Wanniassa Hills"
21,1021007,"Wanniassa Hills"
21,1021008,"Wanniassa Hills"
21,1021009,"Wanniassa Hills"
21,1021010,"Wanniassa Hills"
21,1021011,"Wanniassa Hills"
21,1021012,"Wanniassa Hills"
21,1021013,"Wanniassa Hills"
21,1021014,"Wanniassa Hills"
21,1021015,"Wanniassa Hills"
21,1021998,"Wanniassa Hills"
21,4021001,"Wanniassa Hills"
21,4021002,"Wanniassa Hills"
21,4021998,"Wanniassa Hills"
22,2022001,"Aranda"
22,2022002,"Aranda"
22,2022003,"Aranda"
22,2022004,"Aranda"
22,2022005,"Aranda"
22,2022006,"Aranda"
22,2022007,"Aranda"
22,2022008,"Aranda"
22,2022009,"Aranda"
22,2022010,"Aranda"
22,2022011,"Aranda"
22,2022012,"Aranda"
22,2022013,"Aranda"
22,2022014,"Aranda"
22,2022015,"Aranda"
22,2022016,"Aranda"
22,2022017,"Aranda"
22,2022018,"Aranda"
22,2022019,"Aranda"
22,2022020,"Aranda"
22,2022021,"Aranda"
22,2022998,"Aranda"
22,2022999,"Aranda"
22,3022001,"Aranda"
22,4022001,"Aranda"
22,4022998,"Aranda"
22,5022001,"Aranda"
22,5022998,"Aranda"
24,2024001,"Calvary Hospital"
24,2024002,"Calvary Hospital"
24,2024998,"Calvary Hospital"
24,2024999,"Calvary Hospital"
24,3024001,"Calvary Hospital"
24,3024998,"Calvary Hospital"
24,3024999,"Calvary Hospital"
24,5024001,"Calvary Hospital"
25,2025001,"Charnwood"
25,2025002,"Charnwood"
25,2025003,"Charnwood"
25,2025004,"Charnwood"
25,2025005,"Charnwood"
25,2025006,"Charnwood"
25,2025007,"Charnwood"
25,2025008,"Charnwood"
25,2025009,"Charnwood"
25,2025010,"Charnwood"
25,2025011,"Charnwood"
25,2025012,"Charnwood"
25,2025013,"Charnwood"
25,2025014,"Charnwood"
25,2025015,"Charnwood"
25,2025016,"Charnwood"
25,2025017,"Charnwood"
25,2025018,"Charnwood"
25,2025019,"Charnwood"
25,2025020,"Charnwood"
25,2025021,"Charnwood"
25,2025998,"Charnwood"
25,2025999,"Charnwood"
25,5025001,"Charnwood"
25,5025998,"Charnwood"
25,5025999,"Charnwood"
26,2026001,"Evatt"
26,2026002,"Evatt"
26,2026003,"Evatt"
26,2026004,"Evatt"
26,2026998,"Evatt"
26,2026999,"Evatt"
26,5026001,"Evatt"
26,5026002,"Evatt"
26,5026003,"Evatt"
26,5026004,"Evatt"
26,5026005,"Evatt"
26,5026006,"Evatt"
26,5026007,"Evatt"
26,5026008,"Evatt"
26,5026009,"Evatt"
26,5026010,"Evatt"
26,5026011,"Evatt"
26,5026012,"Evatt"
26,5026013,"Evatt"
26,5026014,"Evatt"
26,5026015,"Evatt"
26,5026016,"Evatt"
26,5026017,"Evatt"
26,5026018,"Evatt"
26,5026019,"Evatt"
26,5026998,"Evatt"
26,5026999,"Evatt"
27,2027001,"Evatt South"
27,2027002,"Evatt South"
27,2027998,"Evatt South"
27,5027001,"Evatt South"
27,5027002,"Evatt South"
27,5027003,"Evatt South"
27,5027004,"Evatt South"
27,5027005,"Evatt South"
27,5027006,"Evatt South"
27,5027007,"Evatt South"
27,5027008,"Evatt South"
27,5027009,"Evatt South"
27,5027998,"Evatt South"
28,2028001,"Florey"
28,2028002,"Florey"
28,2028003,"Florey"
28,2028004,"Florey"
28,2028005,"Florey"
28,2028006,"Florey"
28,2028007,"Florey"
28,2028008,"Florey"
28,2028009,"Florey"
28,2028010,"Florey"
28,2028011,"Florey"
28,2028012,"Florey"
28,2028013,"Florey"
28,2028014,"Florey"
28,2028015,"Florey"
28,2028998,"Florey"
28,2028999,"Florey"
28,5028001,"Florey"
30,2030001,"Giralang"
30,2030998,"Giralang"
30,3030001,"Giralang"
30,3030998,"Giralang"
30,5030001,"Giralang"
30,5030002,"Giralang"
30,5030003,"Giralang"
30,5030004,"Giralang"
30,5030005,"Giralang"
30,5030006,"Giralang"
30,5030007,"Giralang"
30,5030008,"Giralang"
30,5030009,"Giralang"
30,5030010,"Giralang"
30,5030011,"Giralang"
30,5030012,"Giralang"
30,5030013,"Giralang"
30,5030014,"Giralang"
30,5030998,"Giralang"
30,5030999,"Giralang"
31,2031001,"Hall"
31,2031998,"Hall"
31,5031001,"Hall"
31,5031002,"Hall"
31,5031998,"Hall"
31,5031999,"Hall"
33,2033001,"Holt"
33,2033002,"Holt"
33,2033003,"Holt"
33,2033004,"Holt"
33,2033005,"Holt"
33,2033006,"Holt"
33,2033007,"Holt"
33,2033008,"Holt"
33,2033009,"Holt"
33,2033010,"Holt"
33,2033011,"Holt"
33,2033012,"Holt"
33,2033013,"Holt"
33,2033014,"Holt"
33,2033015,"Holt"
33,2033016,"Holt"
33,2033017,"Holt"
33,2033018,"Holt"
33,2033019,"Holt"
33,2033020,"Holt"
33,2033021,"Holt"
33,2033022,"Holt"
33,2033023,"Holt"
33,2033024,"Holt"
33,2033998,"Holt"
33,2033999,"Holt"
33,3033001,"Holt"
33,3033998,"Holt"
33,4033001,"Holt"
33,4033998,"Holt"
33,5033001,"Holt"
33,5033998,"Holt"
34,2034001,"Kaleen"
34,2034998,"Kaleen"
34,3034001,"Kaleen"
34,3034998,"Kaleen"
34,5034001,"Kaleen"
34,5034002,"Kaleen"
34,5034003,"Kaleen"
34,5034004,"Kaleen"
34,5034005,"Kaleen"
34,5034006,"Kaleen"
34,5034007,"Kaleen"
34,5034008,"Kaleen"
34,5034009,"Kaleen"
34,5034010,"Kaleen"
34,5034011,"Kaleen"
34,5034012,"Kaleen"
34,5034013,"Kaleen"
34,5034014,"Kaleen"
34,5034015,"Kaleen"
34,5034016,"Kaleen"
34,5034017,"Kaleen"
34,5034018,"Kaleen"
34,5034019,"Kaleen"
34,5034998,"Kaleen"
34,5034999,"Kaleen"
35,2035001,"Kaleen South"
35,2035002,"Kaleen South"
35,2035998,"Kaleen South"
35,3035001,"Kaleen South"
35,3035998,"Kaleen South"
35,5035001,"Kaleen South"
35,5035002,"Kaleen South"
35,5035003,"Kaleen South"
35,5035004,"Kaleen South"
35,5035005,"Kaleen South"
35,5035006,"Kaleen South"
35,5035007,"Kaleen South"
35,5035008,"Kaleen South"
35,5035009,"Kaleen South"
35,5035010,"Kaleen South"
35,5035011,"Kaleen South"
35,5035012,"Kaleen South"
35,5035998,"Kaleen South"
35,5035999,"Kaleen South"
36,2036001,"Latham"
36,2036002,"Latham"
36,2036003,"Latham"
36,2036004,"Latham"
36,2036005,"Latham"
36,2036006,"Latham"
36,2036007,"Latham"
36,2036008,"Latham"
36,2036009,"Latham"
36,2036010,"Latham"
36,2036011,"Latham"
36,2036012,"Latham"
36,2036013,"Latham"
36,2036014,"Latham"
36,2036998,"Latham"
36,2036999,"Latham"
36,5036001,"Latham"
36,5036998,"Latham"
37,2037001,"Macgregor"
37,2037002,"Macgregor"
37,2037003,"Macgregor"
37,2037004,"Macgregor"
37,2037005,"Macgregor"
37,2037006,"Macgregor"
37,2037007,"Macgregor"
37,2037008,"Macgregor"
37,2037009,"Macgregor"
37,2037010,"Macgregor"
37,2037011,"Macgregor"
37,2037012,"Macgregor"
37,2037013,"Macgregor"
37,2037014,"Macgregor"
37,2037015,"Macgregor"
37,2037016,"Macgregor"
37,2037017,"Macgregor"
37,2037018,"Macgregor"
37,2037019,"Macgregor"
37,2037020,"Macgregor"
37,2037021,"Macgregor"
37,2037022,"Macgregor"
37,2037998,"Macgregor"
37,2037999,"Macgregor"
37,5037001,"Macgregor"
37,5037998,"Macgregor"
38,2038001,"Macquarie"
38,2038002,"Macquarie"
38,2038003,"Macquarie"
38,2038004,"Macquarie"
38,2038005,"Macquarie"
38,2038006,"Macquarie"
38,2038007,"Macquarie"
38,2038008,"Macquarie"
38,2038009,"Macquarie"
38,2038010,"Macquarie"
38,2038011,"Macquarie"
38,2038012,"Macquarie"
38,2038013,"Macquarie"
38,2038014,"Macquarie"
38,2038998,"Macquarie"
38,3038001,"Macquarie"
38,5038001,"Macquarie"
39,2039001,"Melba"
39,2039002,"Melba"
39,2039003,"Melba"
39,2039004,"Melba"
39,2039005,"Melba"
39,2039006,"Melba"
39,2039007,"Melba"
39,2039008,"Melba"
39,2039009,"Melba"
39,2039010,"Melba"
39,2039011,"Melba"
39,2039012,"Melba"
39,2039013,"Melba"
39,2039014,"Melba"
39,2039015,"Melba"
39,2039016,"Melba"
39,2039017,"Melba"
39,2039018,"Melba"
39,2039019,"Melba"
39,2039998,"Melba"
39,2039999,"Melba"
39,3039001,"Melba"
39,3039998,"Melba"
39,5039001,"Melba"
39,5039998,"Melba"
40,2040001,"Page"
40,2040002,"Page"
40,2040003,"Page"
40,2040004,"Page"
40,2040005,"Page"
40,2040006,"Page"
40,2040007,"Page"
40,2040008,"Page"
40,2040009,"Page"
40,2040010,"Page"
40,2040011,"Page"
40,2040012,"Page"
40,2040013,"Page"
40,2040014,"Page"
40,2040015,"Page"
40,2040016,"Page"
40,2040017,"Page"
40,2040998,"Page"
40,2040999,"Page"
40,3040001,"Page"
40,5040001,"Page"
40,5040998,"Page"
41,2041001,"Scullin"
41,2041002,"Scullin"
41,2041003,"Scullin"
41,2041004,"Scullin"
41,2041005,"Scullin"
41,2041006,"Scullin"
41,2041007,"Scullin"
41,2041008,"Scullin"
41,2041009,"Scullin"
41,2041010,"Scullin"
41,2041011,"Scullin"
41,2041998,"Scullin"
41,2041999,"Scullin"
41,5041001,"Scullin"
41,5041998,"Scullin"
43,2043001,"Weetangera"
43,2043002,"Weetangera"
43,2043003,"Weetangera"
43,2043004,"Weetangera"
43,2043005,"Weetangera"
43,2043006,"Weetangera"
43,2043007,"Weetangera"
43,2043008,"Weetangera"
43,2043009,"Weetangera"
43,2043010,"Weetangera"
43,2043011,"Weetangera"
43,2043012,"Weetangera"
43,2043013,"Weetangera"
43,2043014,"Weetangera"
43,2043015,"Weetangera"
43,2043016,"Weetangera"
43,2043017,"Weetangera"
43,2043018,"Weetangera"
43,2043019,"Weetangera"
43,2043998,"Weetangera"
43,2043999,"Weetangera"
43,5043001,"Weetangera"
44,1044001,"Ainslie"
44,1044998,"Ainslie"
44,2044001,"Ainslie"
44,2044998,"Ainslie"
44,3044001,"Ainslie"
44,3044002,"Ainslie"
44,3044003,"Ainslie"
44,3044004,"Ainslie"
44,3044005,"Ainslie"
44,3044006,"Ainslie"
44,3044007,"Ainslie"
44,3044008,"Ainslie"
44,3044009,"Ainslie"
44,3044010,"Ainslie"
44,3044011,"Ainslie"
44,3044012,"Ainslie"
44,3044013,"Ainslie"
44,3044014,"Ainslie"
44,3044015,"Ainslie"
44,3044016,"Ainslie"
44,3044017,"Ainslie"
44,3044018,"Ainslie"
44,3044019,"Ainslie"
44,3044020,"Ainslie"
44,3044021,"Ainslie"
44,3044022,"Ainslie"
44,3044998,"Ainslie"
44,3044999,"Ainslie"
44,4044001,"Ainslie"
44,5044001,"Ainslie"
44,5044998,"Ainslie"
45,1045001,"Ainslie North"
45,1045998,"Ainslie North"
45,2045001,"Ainslie North"
45,3045001,"Ainslie North"
45,3045002,"Ainslie North"
45,3045003,"Ainslie North"
45,3045004,"Ainslie North"
45,3045005,"Ainslie North"
45,3045006,"Ainslie North"
45,3045007,"Ainslie North"
45,3045008,"Ainslie North"
45,3045009,"Ainslie North"
45,3045010,"Ainslie North"
45,3045011,"Ainslie North"
45,3045012,"Ainslie North"
45,3045013,"Ainslie North"
45,3045014,"Ainslie North"
45,3045015,"Ainslie North"
45,3045016,"Ainslie North"
45,3045017,"Ainslie North"
45,3045018,"Ainslie North"
45,3045019,"Ainslie North"
45,3045020,"Ainslie North"
45,3045021,"Ainslie North"
45,3045022,"Ainslie North"
45,3045023,"Ainslie North"
45,3045024,"Ainslie North"
45,3045998,"Ainslie North"
45,4045001,"Ainslie North"
45,5045001,"Ainslie North"
45,5045998,"Ainslie North"
47,1047001,"Campbell"
47,2047001,"Campbell"
47,3047001,"Campbell"
47,3047002,"Campbell"
47,3047003,"Campbell"
47,3047004,"Campbell"
47,3047005,"Campbell"
47,3047006,"Campbell"
47,3047007,"Campbell"
47,3047008,"Campbell"
47,3047009,"Campbell"
47,3047010,"Campbell"
47,3047011,"Campbell"
47,3047012,"Campbell"
47,3047013,"Campbell"
47,3047014,"Campbell"
47,3047015,"Campbell"
47,3047016,"Campbell"
47,3047017,"Campbell"
47,3047018,"Campbell"
47,3047019,"Campbell"
47,3047020,"Campbell"
47,3047998,"Campbell"
47,3047999,"Campbell"
47,4047001,"Campbell"
47,4047998,"Campbell"
47,5047001,"Campbell"
47,5047998,"Campbell"
48,1048001,"Chapman"
48,1048998,"Chapman"
48,4048001,"Chapman"
48,4048002,"Chapman"
48,4048003,"Chapman"
48,4048004,"Chapman"
48,4048005,"Chapman"
48,4048006,"Chapman"
48,4048007,"Chapman"
48,4048008,"Chapman"
48,4048009,"Chapman"
48,4048010,"Chapman"
48,4048011,"Chapman"
48,4048012,"Chapman"
48,4048013,"Chapman"
48,4048014,"Chapman"
48,4048015,"Chapman"
48,4048016,"Chapman"
48,4048017,"Chapman"
48,4048018,"Chapman"
48,4048019,"Chapman"
48,4048020,"Chapman"
48,4048021,"Chapman"
48,4048022,"Chapman"
48,4048023,"Chapman"
48,4048024,"Chapman"
48,4048998,"Chapman"
48,4048999,"Chapman"
49,1049000,"City"
49,2049000,"City"
49,3049000,"City"
49,3049001,"City"
49,3049002,"City"
49,3049998,"City"
49,4049000,"City"
49,5049000,"City"
50,1050001,"Curtin"
50,1050998,"Curtin"
50,2050001,"Curtin"
50,3050001,"Curtin"
50,3050998,"Curtin"
50,4050001,"Curtin"
50,4050002,"Curtin"
50,4050003,"Curtin"
50,4050004,"Curtin"
50,4050005,"Curtin"
50,4050006,"Curtin"
50,4050007,"Curtin"
50,4050008,"Curtin"
50,4050009,"Curtin"
50,4050010,"Curtin"
50,4050011,"Curtin"
50,4050012,"Curtin"
50,4050013,"Curtin"
50,4050014,"Curtin"
50,4050015,"Curtin"
50,4050016,"Curtin"
50,4050017,"Curtin"
50,4050018,"Curtin"
50,4050019,"Curtin"
50,4050020,"Curtin"
50,4050021,"Curtin"
50,4050022,"Curtin"
50,4050998,"Curtin"
50,4050999,"Curtin"
50,5050001,"Curtin"
51,1051001,"Deakin"
51,1051998,"Deakin"
51,3051001,"Deakin"
51,3051002,"Deakin"
51,3051003,"Deakin"
51,3051004,"Deakin"
51,3051005,"Deakin"
51,3051006,"Deakin"
51,3051007,"Deakin"
51,3051008,"Deakin"
51,3051009,"Deakin"
51,3051010,"Deakin"
51,3051011,"Deakin"
51,3051012,"Deakin"
51,3051013,"Deakin"
51,3051014,"Deakin"
51,3051998,"Deakin"
51,4051001,"Deakin"
51,4051998,"Deakin"
52,2052001,"Dickson"
52,2052998,"Dickson"
52,2052999,"Dickson"
52,3052001,"Dickson"
52,3052002,"Dickson"
52,3052003,"Dickson"
52,3052004,"Dickson"
52,3052005,"Dickson"
52,3052006,"Dickson"
52,3052998,"Dickson"
52,4052001,"Dickson"
52,4052998,"Dickson"
52,5052001,"Dickson"
52,5052998,"Dickson"
53,3053001,"Downer"
53,3053002,"Downer"
53,3053003,"Downer"
53,3053004,"Downer"
53,3053005,"Downer"
53,3053006,"Downer"
53,3053007,"Downer"
53,3053008,"Downer"
53,3053009,"Downer"
53,3053010,"Downer"
53,3053011,"Downer"
53,3053012,"Downer"
53,3053013,"Downer"
53,3053998,"Downer"
53,3053999,"Downer"
53,5053001,"Downer"
54,1054001,"Duffy"
54,3054001,"Duffy"
54,4054001,"Duffy"
54,4054002,"Duffy"
54,4054003,"Duffy"
54,4054004,"Duffy"
54,4054005,"Duffy"
54,4054006,"Duffy"
54,4054007,"Duffy"
54,4054008,"Duffy"
54,4054009,"Duffy"
54,4054010,"Duffy"
54,4054011,"Duffy"
54,4054012,"Duffy"
54,4054013,"Duffy"
54,4054014,"Duffy"
54,4054015,"Duffy"
54,4054016,"Duffy"
54,4054017,"Duffy"
54,4054018,"Duffy"
54,4054998,"Duffy"
55,1055001,"Farrer"
55,1055998,"Farrer"
55,3055001,"Farrer"
55,3055998,"Farrer"
55,4055001,"Farrer"
55,4055002,"Farrer"
55,4055003,"Farrer"
55,4055004,"Farrer"
55,4055005,"Farrer"
55,4055006,"Farrer"
55,4055007,"Farrer"
55,4055008,"Farrer"
55,4055009,"Farrer"
55,4055010,"Farrer"
55,4055011,"Farrer"
55,4055012,"Farrer"
55,4055013,"Farrer"
55,4055014,"Farrer"
55,4055015,"Farrer"
55,4055016,"Farrer"
55,4055017,"Farrer"
55,4055018,"Farrer"
55,4055019,"Farrer"
55,4055020,"Farrer"
55,4055021,"Farrer"
55,4055022,"Farrer"
55,4055998,"Farrer"
56,1056001,"Griffith"
56,1056998,"Griffith"
56,1056999,"Griffith"
56,2056001,"Griffith"
56,2056998,"Griffith"
56,3056001,"Griffith"
56,3056002,"Griffith"
56,3056003,"Griffith"
56,3056004,"Griffith"
56,3056005,"Griffith"
56,3056006,"Griffith"
56,3056007,"Griffith"
56,3056008,"Griffith"
56,3056009,"Griffith"
